"segmento";"nome";"id";"pregao";"site";"ticker";"ano";"ativo";"pl";"rec_liq";"lucro_bruto";"lucro_liq";"EBIT";"deprec_amort";"EBITDA";"margem_liq";"div_curto_prazo";"div_longo_prazo";"caixa";"div_liq";"div_total";"size";"leverage";"EBIT.rate";"ROA";"ROE";"GAO";"main.sector";"sector.activity";"sub.sector";"listagem";"ibovespa"
"água e Saneamento";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";19445;"COPASA";"www.copasa.com.br";"CSMG3";2017;10809992;6244343;4326401;1835406;560438;956713;563996;1520709;12,95;598292;2537807;420858;1,79;3136099;16,1959814495596;0,29;0,22;0,14;0,09;0,52;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"água e Saneamento";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";19445;"COPASA";"www.copasa.com.br";"CSMG3";2018;11178403;6226633;4737285;1849610;578700;922455;568409;1490864;12,22;615732;2926336;313371;2,17;3542068;16,2294941711231;0,32;0,19;0,13;0,09;0,5;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"água e Saneamento";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";19445;"COPASA";"www.copasa.com.br";"CSMG3";2019;11528815;6743713;5157224;2156327;754374;1155388;603081;1758469;14,63;384939;2925298;524146;1,58;3310237;16,2603601115949;0,29;0,22;0,15;0,11;0,54;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"água e Saneamento";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";19445;"COPASA";"www.copasa.com.br";"CSMG3";2020;11772457;6456612;5343338;2404105;816477;1280350;646216;1926566;15,28;595756;3185385;805619;1,54;3781141;16,281273208513;0,32;0,24;0,16;0,13;0,53;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"água e Saneamento";"IGUA SANEAMENTO S.A.";23175;"IGUA SA";"www.iguasa.com.br";"IGSN3";2012;1050825;240889;355209;105514;0;16821;12102;28923;0;359467;335578;101790;20,51;695045;13,8650861279075;0,66;0,05;0,03;0;0,16;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Bovespa Mais";FALSE
"água e Saneamento";"IGUA SANEAMENTO S.A.";23175;"IGUA SA";"www.iguasa.com.br";"IGSN3";2013;1366415;270362;487104;141207;19624;48018;21311;69329;4,03;445825;433979;126221;10,87;879804;14,1277010797079;0,64;0,1;0,05;0,07;0,34;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Bovespa Mais";FALSE
"água e Saneamento";"IGUA SANEAMENTO S.A.";23175;"IGUA SA";"www.iguasa.com.br";"IGSN3";2014;1637121;280471;564568;230643;16954;131394;31640;163034;3;234531;916921;133830;6,24;1151452;14,3084497693211;0,7;0,23;0,1;0,06;0,57;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Bovespa Mais";FALSE
"água e Saneamento";"IGUA SANEAMENTO S.A.";23175;"IGUA SA";"www.iguasa.com.br";"IGSN3";2015;1605965;214490;469874;203631;0;74075;42564;116639;0;284854;901664;65928;9,61;1186518;14,2892353799761;0,74;0,16;0,07;0;0,36;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Bovespa Mais";FALSE
"água e Saneamento";"IGUA SANEAMENTO S.A.";23175;"IGUA SA";"www.iguasa.com.br";"IGSN3";2016;1628572;131225;485009;195024;0;48619;46511;95130;0;669267;608128;74376;12,65;1277395;14,3032141151865;0,78;0,1;0,06;0;0,25;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Bovespa Mais";FALSE
"água e Saneamento";"IGUA SANEAMENTO S.A.";23175;"IGUA SA";"www.iguasa.com.br";"IGSN3";2017;1808290;452446;574184;319503;30253;191252;49093;240345;5,27;43524;1068163;133731;4,07;1111687;14,4078922053019;0,61;0,33;0,13;0,07;0,6;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Bovespa Mais";FALSE
"água e Saneamento";"IGUA SANEAMENTO S.A.";23175;"IGUA SA";"www.iguasa.com.br";"IGSN3";2018;2190204;646262;744954;297785;17769;161613;51144;212757;2,39;165206;1030768;302154;4,2;1195974;14,5995052481394;0,55;0,22;0,1;0,03;0,54;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Bovespa Mais";FALSE
"água e Saneamento";"IGUA SANEAMENTO S.A.";23175;"IGUA SA";"www.iguasa.com.br";"IGSN3";2019;2522778;837161;898502;318207;44724;192478;62518;254996;4,98;217539;1120621;276996;4,16;1338160;14,7408712332643;0,53;0,21;0,1;0,05;0,6;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Bovespa Mais";FALSE
"água e Saneamento";"IGUA SANEAMENTO S.A.";23175;"IGUA SA";"www.iguasa.com.br";"IGSN3";2020;2933780;809923;757661;335984;0;166892;72006;238898;0;214926;1558868;557185;5,09;1773794;14,8918022519153;0,6;0,22;0,08;0;0,5;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Bovespa Mais";FALSE
"água e Saneamento";"ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.";25550;"ORIZON";NA;"ORVR3";2019;653114;0;348153;106466;0;0;53526;53526;0;28517;418862;2317;8,31;447379;13,3895069718882;0,68;0;0,08;NA;0;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"água e Saneamento";"ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.";25550;"ORIZON";NA;"ORVR3";2020;670861;82726;391968;146798;23610;103278;50029;153307;6,02;43921;281737;6044;2,08;325658;13,4163172409923;0,49;0,26;0,23;0,29;0,7;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"Alimentos";"ATACADÃO S.A.";24171;"CARREFOUR BR";"www.grupocarrefourbrasil.com.br";"CRFB3";2016;28328000;8449000;47534000;9501000;1363000;2655000;589000;3244000;2,87;645000;3394000;3242000;0,25;4039000;17,1593612727739;0,14;0,06;0,11;0,16;0,28;"Consumo não Cíclico";"Emp. Adm. Part. - Comércio (Atacado e Varejo)";"Comércio e Distribuição";"Novo Mercado";TRUE
"Alimentos";"ATACADÃO S.A.";24171;"CARREFOUR BR";"www.grupocarrefourbrasil.com.br";"CRFB3";2017;33878000;13140000;50280000;10257000;1713000;3104000;681000;3785000;3,41;1461000;1016000;4810000;-0,62;2477000;17,3382763941285;0,07;0,06;0,11;0,13;0,3;"Consumo não Cíclico";"Emp. Adm. Part. - Comércio (Atacado e Varejo)";"Comércio e Distribuição";"Novo Mercado";TRUE
"Alimentos";"ATACADÃO S.A.";24171;"CARREFOUR BR";"www.grupocarrefourbrasil.com.br";"CRFB3";2018;36677000;14047000;54267000;11381000;1863000;3117000;774000;3891000;3,43;17000;1896000;4933000;-0,78;1913000;17,4176604135671;0,05;0,06;0,11;0,13;0,27;"Consumo não Cíclico";"Emp. Adm. Part. - Comércio (Atacado e Varejo)";"Comércio e Distribuição";"Novo Mercado";TRUE
"Alimentos";"ATACADÃO S.A.";24171;"CARREFOUR BR";"www.grupocarrefourbrasil.com.br";"CRFB3";2019;44912000;14705000;60064000;12449000;1328000;2781000;1071000;3852000;2,21;201000;4283000;5609000;-0,29;4484000;17,6202155775838;0,1;0,05;0,09;0,09;0,22;"Consumo não Cíclico";"Emp. Adm. Part. - Comércio (Atacado e Varejo)";"Comércio e Distribuição";"Novo Mercado";TRUE
"Alimentos";"ATACADÃO S.A.";24171;"CARREFOUR BR";"www.grupocarrefourbrasil.com.br";"CRFB3";2020;51824000;17045000;71191000;13918000;2844000;4504000;1092000;5596000;3,99;713000;5065000;5672000;0,02;5778000;17,7633639203932;0,11;0,06;0,11;0,17;0,32;"Consumo não Cíclico";"Emp. Adm. Part. - Comércio (Atacado e Varejo)";"Comércio e Distribuição";"Novo Mercado";TRUE
"Alimentos";"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO";14826;"P.ACUCAR-CBD";"www.gpari.com.br";"PCAR3;PCAR99";2012;35396234;11067951;50924461;13803729;1156436;2869207;834109;3703316;2,27;4211150;6281104;7086251;0,92;10492254;17,382115988264;0,3;0,06;0,1;0,1;0,21;"Consumo não Cíclico";"Comércio (Atacado e Varejo)";"Comércio e Distribuição";"Novo Mercado";TRUE
